title,summary,groups,interests
Information Collection Being Submitted for Review and Approval to Office of Management and Budget,"This document outlines the Federal Communications Commission's (FCC) ongoing efforts to reduce paperwork burdens and collect public comments on an existing information collection related to truth-in-billing requirements for telecommunications providers. The FCC is seeking feedback on ways to further minimize the information collection burden, particularly for small businesses with fewer than 25 employees. The document provides details on the existing information collection, including the OMB control number, title, respondents, estimated time and cost, and the statutory authority behind the requirements.The key purpose of this document is to comply with the Paperwork Reduction Act and the Small Business Paperwork Relief Act, which mandate the FCC to periodically review and seek public input on its information collection practices. This is an important process to ensure the FCC's regulations remain relevant, efficient, and not overly burdensome, especially for smaller telecommunications providers.","['Telecommunications providers', 'Consumer advocacy groups', 'Small telecommunications businesses']","[""May be concerned about the administrative burden and costs associated with the FCC's truth-in-billing requirements, and may seek to influence the review process to reduce their compliance obligations."", ""Likely to support the FCC's efforts to enhance transparency and clarity in telecommunications billing, as this can help protect consumers from fraudulent practices like slamming and cramming."", ""Interested in the FCC's efforts to further reduce the information collection burden, as they may have more limited resources to dedicate to compliance compared to larger providers.""]"
Commission Information Collection Activities (FERC-725G); Comment Request; Revision,"This document outlines the Federal Energy Regulatory Commission's (FERC) proposed revisions to the FERC-725G information collection requirements associated with the North American Electric Reliability Corporation's (NERC) Reliability Standard PRC-023-6. The key points are:- NERC has filed a petition seeking approval of proposed Reliability Standard PRC-023-6, which aims to remove redundant and unnecessary language related to the setting of out-of-step blocking relays.- NERC proposes to retire Requirement R2 of the existing standard, as it is redundant to Requirement R1 and does not contribute to reliability.- NERC also proposes to remove the exclusion in Attachment A, Item 2.3, as it is no longer necessary due to system changes.- FERC has approved NERC's uncontested filing, as any entity noncompliance with the existing obligations under Requirement R2 can be assessed under Requirement R1 if R2 is retired.This document is important as it outlines changes to mandatory reliability standards for the bulk power system, which can have significant impacts on the electricity grid and its operators.","['Electric utilities and grid operators', 'Reliability standard development organizations (e.g., NERC)', 'Consumer advocacy groups']","['May be interested in the changes to the reliability standard, as it could impact their operational practices and compliance requirements.', 'Likely to support the proposed changes, as they aim to improve the efficiency and effectiveness of the reliability standards.', 'May be concerned about the potential impacts of the changes on electricity reliability and costs, and may want to ensure that consumer interests are protected.']"
Docket No. 2024-0001; Sequence No. 2] Submission for OMB Review; Actual Place of Residence Determination (GSA Form 5047),"This document outlines the General Services Administration's (GSA) proposal to create a new form, GSA Form 5047, to help determine the actual place of residence for federal employees being hired, reassigned, or transferred to duty stations outside the United States. The form aims to streamline the administration of relocation benefits and renewal agreement travel for overseas postings. The key points are:- GSA routinely hires and relocates federal employees to foreign duty stations, and needs to determine their actual place of residence to calculate relocation costs and eligibility for benefits like home leave.- Residency can be unclear for employees who have been overseas for a long time, so the new form will guide HR specialists through a series of questions to make this determination.- Use of the form will help GSA comply with federal travel regulations and ensure appropriate use of authorities like the Home Leave Act.- The form can also be used to determine eligibility for other overseas allowances and benefits like annual leave accrual and living quarters allowance.","['Federal employees being hired, reassigned, or transferred overseas', 'GSA human resources specialists', 'Federal agencies sending employees to overseas postings']","['May be concerned about how the residency determination could impact their relocation benefits and eligibility for allowances.', ""Will be responsible for using the new form to make residency determinations, so they may have input on the form's design and implementation."", 'May want to ensure the form and process align with their own policies and procedures for managing overseas assignments.']"
Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; Coral Reef Conservation Program,"This document outlines the information collection activities for the Coral Reef Conservation Program, which is administered by the National Oceanic and Atmospheric Administration (NOAA). The key points are:- The program was established by the Coral Reef Conservation Act of 2000 to conserve and restore coral reef ecosystems in the United States.- The information collection activities include: 1) Collecting and submitting covered states' non-federal expenditures under block grants, 2) Applicant submission of proposals for the Ruth D. Gates Coral Reef Conservation Grant Program, and 3) Submission of performance progress reports by grant recipients.- NOAA is revising and extending the approved collection of information to align with the updated requirements of the Coral Reef Conservation Act.- The purpose of this notice is to allow for 60 days of public comment before submitting the collection to the Office of Management and Budget (OMB) for review and approval.This document is important as it outlines the data collection and reporting requirements for the Coral Reef Conservation Program, which is a key federal initiative to protect and restore coral reef ecosystems in the United States.","['Covered states and territories (Florida, Hawaii, American Samoa, Northern Mariana Islands, Guam, Puerto Rico, U.S. Virgin Islands)', 'Coral reef conservation and restoration organizations', 'Private sector donors']","['May be concerned about the administrative burden of reporting non-federal expenditures, but also have an interest in securing funding for coral reef conservation and restoration projects.', 'Likely to support the program and its data collection activities, as they could benefit from the grant funding and want to ensure effective monitoring and reporting.', ""May be interested in the program's ability to accept and allocate monetary donations for coral reef conservation and restoration projects.""]"
Information Collection: Public Records and NRC Forms 507 and 509,"This document outlines the Nuclear Regulatory Commission's (NRC) request for public comment on the renewal of an existing information collection related to public records and NRC Forms 507 and 509. The information collection is required under the Freedom of Information Act (FOIA) and allows the NRC to obtain information from FOIA requesters, outside vendors, and licensees who submit objections to disclosure. The key points are:- The NRC is seeking OMB approval to renew this information collection, which has been ongoing since 1995.- The collection includes NRC Forms 507 and 509, which are used occasionally by FOIA requesters, vendors, and licensees.- The estimated annual responses are 628, with 273 respondents, requiring 180.5 hours of compliance.- This information collection is important for the NRC to fulfill its FOIA obligations and manage public records requests effectively.","['FOIA requesters', 'Nuclear industry licensees', 'Public interest groups']","[""May be interested in ensuring the NRC's FOIA process is efficient and transparent, potentially advocating for streamlined procedures."", 'May be concerned about protecting sensitive information from public disclosure, potentially opposing certain aspects of the information collection.', 'May advocate for broader public access to information and transparency, potentially pushing for the NRC to expand the scope of its FOIA disclosures.']"
Hazardous Energy Control Standard (Lockout/Tagout); Extension of the Office of Management and Budget's (OMB) Approval of Information Collection (Paperwork) Requirements,"This document outlines the Occupational Safety and Health Administration's (OSHA) request for public comments on the extension of the Office of Management and Budget's (OMB) approval of the information collection requirements specified in the Hazardous Energy Control Standard (Lockout/Tagout). The standard aims to control the release of hazardous energy while workers service, maintain, or repair machines or equipment, in order to prevent death or serious injury. The key information collection requirements include documenting energy control procedures, maintaining records of periodic inspections and worker training, and notifying affected workers when applying or removing lockout/tagout devices. This extension is part of OSHA's ongoing effort to reduce paperwork and respondent burden while ensuring worker safety.","['Employers (especially small businesses)', 'Workers and labor unions', 'Equipment manufacturers']","['May be concerned about the administrative burden of complying with the information collection requirements, but also have an interest in ensuring worker safety.', 'Likely to support the standard as it provides important safeguards for their health and well-being.', 'May have an interest in ensuring the standard does not place undue restrictions on the design and operation of their products.']"
Submission for Review: Revision and Consolidation of Two Existing Information Collections Related to Health Benefits Election Forms,"This document outlines the Office of Personnel Management's (OPM) proposal to revise and consolidate two existing information collections related to health benefits election forms - the SF 2809 Health Benefits Election Form and the OPM 2809 Health Benefits Election Form. The key points are:- OPM is proposing to combine the two forms into a single information collection under OMB Control No. 3206-0160, as the forms serve the same purpose and collect virtually identical information.- The forms will be updated to improve clarity and ease of use, based on feedback from various stakeholders.- OPM will be offering a new online enrollment system for the Postal Service Health Benefits (PSHB) Program, which will collect the same information as the paper and electronic PDF versions of the forms.- The estimated public burden for the revised information collection is 20,667 hours for 48,000 responses, combining the previous burdens for the two separate forms.- OPM is seeking public comments on the proposed changes to the forms and the consolidation of the information collections.This document is important as it outlines OPM's efforts to streamline and modernize the health benefits enrollment process for federal employees and annuitants, including the new PSHB Program. The proposed changes aim to enhance the user experience and improve the efficiency of the information collection process.","['Federal employees', 'Federal annuitants and retirees', 'Postal Service employees and retirees', 'FEHB insurance carriers']","['Interested in the ease of use and clarity of the updated health benefits election forms, as they will be the primary users.', 'Concerned about the changes to the OPM-2809 form, as they may have a higher reliance on paper forms compared to the employee population.', 'Interested in the new online enrollment system for the PSHB Program and how it will impact their health benefits enrollment process.', 'May provide feedback on the proposed changes to the forms, as they rely on the information collected to provide health insurance coverage to federal employees and annuitants.']"
"Agency Information Collection Activities: 30 CFR Parts 1227, 1228, and 1229, Delegated and Cooperative Activities With States and Indian Tribes","This document outlines the process for the Office of Natural Resources Revenue (ONRR) to renew an information collection request (ICR) related to delegating and cooperating with states and Indian tribes on royalty management functions. The key points are:- ONRR uses the information collected in this ICR to review and approve delegation proposals from states seeking to perform royalty management functions, and to prepare cooperative agreements with states or tribes to perform royalty audits.- ONRR is inviting public comments on the necessity, accuracy, quality, and burden reduction of this information collection as part of the Paperwork Reduction Act requirements.- The Secretary of the Interior has the authority under the Federal Oil and Gas Royalty Management Act to delegate certain royalty management responsibilities to states and tribes to help maintain an efficient federal royalty system.This document is important as it outlines the process for states and tribes to partner with the federal government on royalty management, which can impact revenue collection and distribution for mineral resources on public and tribal lands.","['State governments', 'Indian tribes', 'Oil, gas, and mining companies', 'Environmental advocacy groups']","['May be interested in pursuing delegation agreements with ONRR to take on more royalty management responsibilities, potentially increasing their revenue and oversight role.', 'May seek cooperative agreements with ONRR to perform royalty audits on tribal lands, giving them more control over resource management and revenue.', 'May be concerned about increased state or tribal oversight and auditing of their royalty payments, which could impact their operations and costs.', 'May want to ensure that any delegation or cooperative agreements maintain strong environmental protections and royalty collection standards.']"
Statutory Updates to the Advanced Technology Vehicles Manufacturing Program,"This document outlines updates to the Department of Energy's Advanced Technology Vehicles Manufacturing (ATVM) program regulations. The key points are:- The rule amends the existing ATVM regulations to implement additional categories of advanced technology vehicles added to the program by the Infrastructure Investment and Jobs Act and the Inflation Reduction Act of 2022. This includes medium-duty and heavy-duty vehicles, trains, locomotives, maritime vessels, aircraft, and hyperloop technology.- The rule also amends the regulations to reflect the ultra-efficient vehicle category added to the ATVM statute through an earlier appropriations act.- The goal is to ensure the ATVM program's implementing regulations are consistent with the latest statutory requirements. This will allow the program to provide loans and grants to a broader range of advanced vehicle manufacturing projects in the U.S.","['Automobile manufacturers', 'Component suppliers', 'Environmental advocacy groups', 'Fossil fuel industry']","['May be interested in accessing ATVM program funding to support their advanced vehicle manufacturing projects in the U.S.', 'Could benefit from ATVM program loans and grants to expand or establish manufacturing facilities for qualifying advanced technology components.', 'Likely to support the expansion of the ATVM program to cover a broader range of advanced vehicle technologies, as it could help accelerate the adoption of cleaner transportation options.', ""May oppose the program's expansion if it is seen as diverting investment away from traditional vehicle technologies.""]"
Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Annual Report on Appeals Process (RSA-722),"This document proposes an extension without change of a currently approved information collection request (ICR) related to the Annual Report on Appeals Process (RSA-722) for the Department of Education's Office of Special Education and Rehabilitative Services (OSERS). The report collects data on the number and resolution of requests for mediations, hearings, administrative reviews, and other dispute resolution methods in the vocational rehabilitation program. The Department is seeking public comments on the necessity, timeliness, and burden of this information collection.","['State, local, and Tribal governments', 'Vocational rehabilitation program applicants and eligible individuals', 'Disability advocacy groups']","['As the respondents required to provide the data for the Annual Report on Appeals Process, they may have an interest in ensuring the information collection process is efficient and minimizes administrative burden.', 'They may be interested in ensuring the data collected accurately reflects the types of complaints and the resolution of appeals, as this information could impact the accessibility and quality of the vocational rehabilitation services they receive.', 'They may want to review the data collected to monitor the effectiveness of the appeals process and identify any systemic issues in the vocational rehabilitation program that need to be addressed.']"
Procurement List; Proposed Additions and Deletions,"This document proposes to add a new service requirement to the Procurement List, which will be furnished by a nonprofit agency employing persons who are blind or have other severe disabilities. It also proposes to delete certain products previously furnished by such agencies. The purpose is to provide interested parties an opportunity to submit comments on the proposed actions.","['Nonprofit agencies employing persons who are blind or have other severe disabilities', 'U.S. Air Force, Altus Air Force Base', 'Companies currently supplying the products proposed for deletion']","['Likely to support the proposed addition as it would provide them with a new service contract opportunity.', 'May be interested in the proposed addition as it would designate a mandatory source of supply for the specified service.', 'May oppose the proposed deletions as it would result in the loss of their government contracts.']"
Rate Adjustments for Indian Irrigation Projects,"This document proposes to adjust the irrigation operation and maintenance (O&M) assessment rate for the Duck Valley Irrigation Project (DVIP), which is owned or has an interest in by the Bureau of Indian Affairs (BIA). The BIA is required to establish irrigation assessment rates to recover the costs of administering, operating, maintaining, and rehabilitating these irrigation projects. The proposed rate adjustment for DVIP is from $5.30 to $11.00 per acre. The BIA is requesting comments from interested parties on the proposed rate adjustment.The document provides definitions of key terms used, such as administrative costs, assessable acre, and operation and maintenance assessment. It also clarifies that the notice affects those who irrigate land by permit or lease within the assessable acreage of DVIP. The purpose of publishing this notice is to inform stakeholders of the proposed rate adjustment and solicit their feedback.","['Farmers and landowners within the Duck Valley Irrigation Project', 'Shoshone-Paiute Tribes', 'Bureau of Indian Affairs']","['May oppose the rate increase due to higher operational costs, but could also have an interest in ensuring the project is properly maintained and rehabilitated.', 'As the authorized entity overseeing the use of land within the project, the Tribes may have a strong interest in the proposed rate adjustment and its impact on their constituents.', 'As the agency responsible for managing the irrigation project, the BIA has an interest in ensuring the rates are sufficient to cover the costs of administration, operation, maintenance, and rehabilitation.']"
"Amendment of Class E Airspace; Presque Isle, ME","This document proposes to amend the Class E airspace extending upward from 700 feet above the surface for Presque Isle International Airport in Presque Isle, Maine. The key changes include updating the airport name, adding the AR Gould Hospital Heliport to the description header, and updating the geographic coordinates to align with FAA databases. The proposed action would not change the airspace boundaries or operating requirements.The FAA is issuing this notice of proposed rulemaking to ensure the safety and efficient management of instrument flight rules (IFR) operations in the Presque Isle area. The agency is inviting public comments on the overall regulatory, aeronautical, economic, environmental, and energy-related aspects of the proposal before taking final action.","['Presque Isle International Airport', 'AR Gould Hospital', 'General aviation pilots', 'Environmental advocacy groups']","[""May be supportive of the proposed changes as they update the airport's name and coordinates in the airspace designation."", 'Likely to favor the inclusion of the hospital heliport in the airspace description, as it could improve access and operations for medical flights.', 'May be concerned about any potential changes to airspace boundaries or operating requirements, even though the proposal states there would be no such changes.', 'May want to ensure the proposed airspace changes do not have any adverse environmental impacts, such as increased noise or emissions from aircraft operations.']"
Agency Information Collection Activities: Proposed Collection; Comment Request,"This document proposes to extend the approval for the National Archives and Records Administration (NARA) to collect information from individuals who wish to volunteer or intern at NARA facilities. The key points are:- NARA uses volunteers and interns to enhance its services and further its mission of providing access to essential evidence.- NARA is seeking to extend the approval for two forms: the Volunteer Service Application (NA Form 6045) and the Voluntary Internship Application (NA Form 3060A).- The proposed information collection aims to assess the qualifications of potential volunteers and interns, and to collect necessary information for their participation.- NARA is inviting public comments on the proposed information collection, as required by the Paperwork Reduction Act of 1995.This document is important as it outlines NARA's efforts to engage volunteers and interns to support its operations and mission, which could have implications for the public's access to NARA's services and resources.","['Potential volunteers', 'Potential interns', 'NARA staff', 'Taxpayer advocacy groups']","['May be interested in the opportunity to volunteer at NARA facilities and contribute to its mission.', 'May be interested in the voluntary internship program at NARA, which could provide them with valuable training and experience.', ""May be supportive of the proposed information collection, as it could help them effectively manage and utilize volunteer and intern resources to enhance NARA's services."", 'May scrutinize the use of volunteer and intern labor, and the associated costs and benefits to the public.']"
Petition for Exemption; Summary of Petition Received; Stallion 51 Flight Operations LLC,"This document summarizes a petition filed by Stallion 51 Flight Operations LLC seeking exemption from certain Federal Aviation Regulations. The petitioner requests relief to provide the public with a 'hands-on' warbird flight experience in its modified North American P-51D (TF-51) aircraft, which are certified as limited category civil aircraft. The exemption would allow customers, under the supervision of a flight instructor, to manipulate the controls of these former-military aircraft, including during aerobatic flight.The purpose of this notice is to improve public awareness and participation in the FAA's exemption process. The FAA is seeking public comments on the petition by May 15, 2024, which will be considered in the agency's final decision.","['Stallion 51 Flight Operations LLC', 'General aviation community', 'Aviation safety advocates']","[""Seeking the exemption to expand its business offering 'hands-on' warbird flight experiences to the public."", 'May have concerns about the safety implications of allowing public access to control former-military aircraft, especially during aerobatic maneuvers.', 'Likely to scrutinize the petition closely to ensure appropriate safety measures are in place to protect participants and the public.']"
Content and Format of Composition Statement and Corresponding Statement of Ingredients in Labeling in New Drug Applications and Abbreviated New Drug Applications; Draft Guidance for Industry; Availability,"This draft guidance from the FDA aims to assist new drug application (NDA) and abbreviated new drug application (ANDA) applicants in submitting accurate and complete composition statements in their applications, as well as corresponding statements of ingredients in the product labeling. The guidance outlines best practices for writing these statements to minimize the number of assessment cycles and communications needed for approval, and to ensure clear product labeling. The key requirements include providing a full list of all components used in the drug product manufacturing, as well as a detailed statement of the product's composition.This guidance is important as it helps standardize the information provided in NDAs and ANDAs, which is critical for the FDA's review and approval process. Clear and complete composition statements facilitate efficient regulatory assessments and help ensure product labels accurately reflect the drug's contents.","['NDA and ANDA applicants', 'FDA reviewers', 'Consumer advocacy groups']","[""May need to adjust their application preparation processes to align with the guidance's recommendations, which could impact timelines and resources."", 'Likely to support the guidance as it provides a framework to streamline the review of composition and labeling information, potentially reducing the number of assessment cycles.', ""May advocate for the guidance to ensure drug labels accurately reflect the product's composition, promoting transparency and informed consumer choices.""]"
"Cancer Clinical Trial Eligibility Criteria: Performance Status; Draft Guidance for Industry, Institutional Review Boards, Clinical Investigators; Availability","This draft guidance from the FDA aims to expand eligibility criteria for cancer clinical trials to include patients with a wider range of performance status. The guidance is intended to assist sponsors, institutional review boards (IRBs), and clinical investigators in developing more inclusive eligibility criteria for cancer trials. This is part of a series of guidances from the FDA focused on improving the diversity of clinical trial populations.The key points are:- Eligibility criteria are sometimes more restrictive than necessary, limiting the diversity of trial participants.- This guidance provides recommendations on expanding eligibility to include patients with a broader range of performance status.- The goal is to improve the representativeness of cancer clinical trial populations.- The guidance is important as it can lead to increased access to experimental cancer treatments for a wider range of patients.","['Cancer drug sponsors', 'Institutional Review Boards (IRBs)', 'Patient advocacy groups', 'Healthcare providers']","['May be interested in the guidance to expand their potential patient pool for clinical trials, but may also have concerns about increased trial complexity or risks.', ""Will need to evaluate and implement the guidance's recommendations on expanding eligibility criteria, balancing patient protections with the goal of greater inclusivity."", 'Likely to support the guidance as it can improve access to experimental cancer treatments for a wider range of patients.', 'May have concerns about the feasibility of managing a more diverse patient population in clinical trials, but could also see benefits in terms of better representing their real-world patient populations.']"
Consideration of Enforcement Policies for Tests During a Section 564 Declared Emergency; Draft Guidance for Industry and Food and Drug Administration Staff; Availability,"This draft guidance from the FDA outlines the factors the agency plans to consider when deciding whether to issue an enforcement policy regarding the offering of certain unapproved tests and unapproved uses of approved tests during a declared emergency under Section 564 of the Federal Food, Drug, and Cosmetic Act. The key factors include the need for accelerated test availability, the known or potential risks of such tests, the availability of alternative authorized or approved tests, and the availability of sufficient mitigations to address risks of false results. The guidance aims to help quickly increase test availability when appropriate during a declared emergency.This document is important as it provides transparency on the FDA's decision-making process for granting enforcement discretion for unapproved tests during public health emergencies. It allows test manufacturers and the public to understand the agency's considerations and expectations, which can facilitate the development and deployment of critical diagnostic tools during crises.","['Test manufacturers', 'Public health authorities', 'Patient advocacy groups']","[""May be interested in understanding the FDA's criteria for granting enforcement discretion, as it could impact their ability to offer unapproved tests during emergencies and affect their business operations."", 'Likely to support the guidance as it could help expedite the availability of diagnostic tests needed to respond effectively to public health emergencies.', 'May be concerned about the potential risks of unapproved tests and want to ensure sufficient safeguards are in place to protect patient safety.']"
Considerations for the Use of Human-and Animal-Derived Materials and Components in the Manufacture of Cell and Gene Therapy and Tissue-Engineered Medical Products; Draft Guidance for Industry; Availability,"This draft guidance from the FDA provides recommendations for manufacturers of cell and gene therapy (CGT) products and tissue-engineered medical products (TEMPs) on ensuring the safety, quality, and identity of human- and animal-derived materials used in the manufacturing process. The key issues addressed include the potential transmission of adventitious agents, ensuring lot-to-lot consistency, and verifying material identity. The guidance also covers the chemistry, manufacturing, and control (CMC) information that should be submitted in an investigational new drug (IND) application regarding the use of these materials.This document is important as it aims to establish best practices for the use of human and animal-derived components in the rapidly evolving fields of CGT and tissue engineering, where ensuring product safety and quality is critical. The guidance will help manufacturers navigate the regulatory landscape and mitigate risks associated with these materials.","['CGT and TEMP manufacturers', 'Patient advocacy groups', 'Suppliers of human and animal-derived materials']","['May be interested in the guidance to ensure compliance and avoid regulatory issues, but may also be concerned about the potential increased costs and operational complexity associated with the recommended practices.', 'Likely to support the guidance as it aims to enhance the safety and quality of these innovative therapies, which could benefit patients.', 'May be affected by the increased scrutiny and requirements for their products, potentially leading to changes in their manufacturing and quality control processes.']"
Safety Testing of Human Allogeneic Cells Expanded for Use in Cell-Based Medical Products; Draft Guidance for Industry; Availability,"This draft guidance from the FDA provides recommendations for safety testing of human allogeneic cells that are expanded for use in cell-based medical products. The key points are:- Allogeneic cells may be expanded in culture to manufacture various cell-based medical products, such as live cells, inactivated cells, cell lysates, or cell-derived particles.- The guidance outlines recommendations for appropriate cell safety testing to support an investigational new drug (IND) application or a biologics license application (BLA).- Cell safety testing should be based on a risk analysis that considers the expansion potential of the cells, the reagents used for cell expansion, and the number of individuals the cell-based product can treat.- The guidance aims to help manufacturers address the safety requirements for cell-based products, particularly regarding viral/microbial contamination and potential genomic changes that could lead to tumorigenicity.This draft guidance is important as it provides clarity and standardization for the safety testing of expanded allogeneic cells used in cell-based medical products, which is a rapidly evolving field with significant implications for public health and patient safety.","['Cell-based medical product manufacturers', 'Patient advocacy groups', 'Regulatory agencies (e.g., FDA)']","['May be interested in the guidance to ensure their products meet the recommended safety testing requirements, but may also be concerned about the potential for increased costs and regulatory burden.', 'Likely to support the guidance as it aims to enhance the safety of cell-based medical products, which could improve patient outcomes and trust in these emerging therapies.', 'Issued the guidance to provide clear recommendations and standardize the safety testing requirements for this class of medical products, which fall under their oversight and responsibility to protect public health.']"
Revision of Firearms License Requirements,"This interim final rule (IFR) from the Bureau of Industry and Security (BIS) of the Department of Commerce aims to enhance the control structure for firearms and related items under the Export Administration Regulations (EAR). The key changes include:- Identifying semi-automatic firearms under new Export Control Classification Numbers (ECCNs)- Adding additional license requirements for Crime Control and Detection (CC) items, resulting in more restrictions on license exceptions- Amending license review policies to be more explicit about the nature of review and availability of license exceptions, including a new list of high-risk destinations- Updating and expanding requirements for support documentation submitted with license applications- Accounting for the import documentation requirements of other countries when firearms and related items are authorized under a BIS license exceptionThe goal is to better protect U.S. national security and foreign policy interests, counter the diversion and misuse of firearms, and advance human rights. The IFR is effective May 30, 2024, and the public is invited to comment by July 1, 2024.","['Firearms manufacturers and exporters', 'Human rights organizations', 'Law enforcement and national security agencies', 'Importing countries']","['May oppose the stricter licensing requirements and reduced availability of license exceptions, as it could increase operational costs and limit their ability to export firearms.', 'Likely to support the proposal as it aims to counter the diversion and misuse of firearms, which can have negative impacts on human rights.', 'May favor the enhanced control structure as it could help prevent the illicit trafficking of firearms and related items, which can pose threats to public safety and national security.', 'May be interested in the changes, as the rule accounts for their import documentation requirements when firearms and related items are authorized under a BIS license exception.']"
Mandatory Transmission and Distribution Planning Support Activities,"This interim final rule amends the Department of Energy's (DOE) State Energy Program (SEP) regulations to incorporate changes made by the Infrastructure Investment and Jobs Act of 2021. The key points are:- The rule adds a new mandatory requirement for state energy conservation plans to include transmission and distribution planning support activities, such as supporting local governments and tribes, feasibility studies, and stakeholder outreach.- DOE is issuing this as an interim final rule without prior public notice and comment, as the changes are related to a grant program and are nondiscretionary based on the statutory amendments.- The rule aims to update SEP regulations to reflect the new statutory requirements for state energy conservation plans in order for states to receive SEP grant funding.This document is important as it formalizes the new mandatory planning requirements for states participating in the DOE's SEP grant program, which provides funding for energy efficiency and renewable energy initiatives across the country.","['State and local governments', 'Utility companies', 'Environmental and clean energy advocacy groups']","['Supportive of the new mandatory planning requirements, as they will receive funding and technical assistance to conduct these activities.', 'May be concerned about the increased planning requirements and coordination with state and local entities, which could impact their operations and investments.', 'Likely to support the new planning requirements, as they could lead to increased investment in grid modernization and renewable energy integration.']"
Medicare Program; Application by the National Association of Boards of Pharmacy (NABP) for Continued CMS Approval of its Home Infusion Therapy (HIT) Accreditation Program,"This notice announces the National Association of Boards of Pharmacy's (NABP) application for continued CMS approval of its home infusion therapy (HIT) accreditation program. The notice provides background on the statutory requirements for HIT suppliers to be accredited by a CMS-approved accrediting organization. It also outlines the factors CMS must consider in reviewing and approving accrediting organizations, such as their ability to conduct timely reviews and account for rural suppliers. The purpose of the notice is to solicit public comments on whether NABP's accreditation requirements meet or exceed Medicare's HIT participation requirements.","['Home infusion therapy suppliers', 'Patient advocacy groups', 'Rural healthcare providers', 'The National Association of Boards of Pharmacy (NABP)']","['Interested in ensuring the accreditation process is efficient and fair, as it is a requirement for participating in Medicare and Medicaid programs.', 'Concerned about the quality of home infusion therapy services and may want to ensure the accreditation standards are rigorous enough to protect patient safety.', 'May want to ensure the accreditation process accounts for the unique challenges faced by rural HIT suppliers.', 'Seeking continued CMS approval of its HIT accreditation program, which is a key source of revenue and influence for the organization.']"
"Airworthiness Directives; Bombardier, Inc., Airplanes","This proposed Airworthiness Directive (AD) from the Federal Aviation Administration (FAA) aims to address an unsafe condition on certain Bombardier, Inc. Model BD-100-1A10 airplanes. The key points are:- The proposed AD would supersede the existing AD 2023-11-01, which required a records check and replacement of affected left-hand (LH) direct current power center (DCPC) units.- The proposed AD would now require additional modification of certain LH DCPC units to address the issue of misleading electrical system status indications, which could lead to loss of electrical power and reduced controllability of the airplane.- The proposed AD would also expand the applicability of the previous AD to cover all Bombardier, Inc. Model BD-100-1A10 airplanes, and prohibit the installation of affected parts.This proposed AD is important as it addresses a critical safety issue that could impact the safe operation of the affected aircraft models. The FAA is seeking public comments on the proposed changes before finalizing the directive.","['Bombardier, Inc. (aircraft manufacturer)', 'Airline operators of Bombardier BD-100-1A10 aircraft', 'Aviation safety advocacy groups', 'Aircraft maintenance providers']","['May be involved in providing technical support and guidance to the FAA on the proposed modifications to the DCPC units.', 'Will be directly impacted by the proposed requirements to check maintenance records, replace, and modify DCPC units on their fleets. May have concerns about operational disruptions and costs.', 'Likely to support the proposed AD as it addresses a critical safety issue, potentially improving the overall safety of the affected aircraft models.', 'Will be responsible for carrying out the required maintenance actions, such as the DCPC unit replacements and modifications. May have concerns about the workload and costs associated with the proposed requirements.']"
International Fisheries; Pacific Tuna Fisheries; Safe Handling and Release Practices for Sharks on Longline Vessels and Revision to Vessel Monitoring System Requirements in the Eastern Pacific Ocean,"This proposed rule aims to implement two resolutions adopted by the Inter-American Tropical Tuna Commission (IATTC) in August 2023. The key points are:1. It would require U.S. longline vessels fishing for tuna or tuna-like species in the eastern Pacific Ocean (EPO) to release sharks by leaving them in the water and cutting the branchline to less than 1 meter, in order to promote the sustainable management and protection of shark populations.2. It would also require large vessels fishing for tuna or tuna-like species in the EPO to make manual reports every six hours if their vessel monitoring system (VMS) unit malfunctions, to ensure authorities have consistent access to vessel location and identification data.This proposed rule is important as it would help the U.S. fulfill its obligations as a member of the IATTC to implement the organization's conservation and management measures for tuna and associated species in the EPO.","['U.S. longline fishing companies', 'Environmental and conservation organizations', 'Tuna and seafood industry', 'IATTC member countries']","['May oppose the new shark handling and release requirements due to potential operational challenges and costs.', 'Likely to support the proposal for its potential to reduce shark mortality and promote sustainable fisheries.', 'May have concerns about the impact of the VMS reporting requirements on their operations and costs.', ""Supportive of the U.S. implementing the IATTC resolutions, as it demonstrates the U.S. commitment to the organization's conservation efforts.""]"
